                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6859,                 5.5676,                 2.0184,                 0.4109,                0.61269,                0.50095,                 0.2857,                 1.4955,                 4.7426,                 1.3541,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.4636,                 1.8222,                 1.2281,                0.87325,                0.85174,                0.95341,                0.54653,                 1.4262,                 1.5259,                 1.1779,             0.00037055,             0.00037055,             0.00037055
                      3,                 1.3238,                 1.2754,                 1.0952,                0.89518,                0.97977,                0.98096,                0.58191,                 1.3402,                  1.163,                  1.052,             0.00053949,             0.00053949,             0.00053949
                      4,                 1.2827,                 1.0991,                 1.0924,                0.36493,                0.72976,                0.44509,                 0.2694,                 1.3193,                 6.1353,                 1.0858,             0.00069258,             0.00069258,             0.00069258
                      5,                  1.264,                 1.0005,                 1.0732,                 0.5585,                0.90476,                 0.5709,                0.28414,                 1.5885,                 5.8123,                 1.1429,             0.00082983,             0.00082983,             0.00082983
                      6,                 1.2432,                0.92686,                 1.0737,                0.97095,                0.75546,                0.91564,                0.57146,                 1.2839,                  1.119,                  1.151,             0.00095123,             0.00095123,             0.00095123
                      7,                 1.1987,                0.96251,                 1.0841,                0.91133,                0.88334,                0.94481,                0.57584,                  1.402,                 1.0964,                 1.0997,              0.0010568,              0.0010568,              0.0010568
                      8,                 1.1957,                0.84054,                 1.0508,                0.93831,                0.93887,                0.97785,                0.63086,                  1.233,                0.82901,                 1.1079,              0.0010329,              0.0010329,              0.0010329
                      9,                  1.175,                0.80884,                 1.0759,                0.92325,                 0.8254,                 0.9538,                0.63514,                 1.1313,                 0.9363,                 1.0748,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.0846,                0.73892,                  1.024,                0.95815,                 0.9772,                0.99439,                0.68222,                 1.1145,                0.70784,                 1.0032,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.0593,                0.68198,                 1.0008,                0.99517,                0.96528,                0.99364,                0.64446,                  1.187,                 0.7112,                 1.0543,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.0501,                0.68017,                 1.0003,                0.95011,                0.94187,                 0.9871,                0.68536,                  1.043,                0.69381,                 1.0374,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.0339,                0.64219,                0.99607,                0.98835,                0.99476,                  0.995,                0.69603,                 1.0728,                 0.6157,                 1.0185,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.0447,                0.62996,                0.99326,                0.98896,                0.99241,                  0.995,                0.68157,                 1.1225,                0.60927,                 1.0295,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.0347,                0.62526,                0.99069,                0.98939,                      1,                  0.995,                0.71827,                 1.0904,                0.57415,                  1.048,             0.00069335,             0.00069335,             0.00069335
                     16,                0.96337,                0.54507,                0.98702,                0.98801,                0.99659,                  0.995,                0.71106,                  1.054,                0.57297,                 1.0114,             0.00063676,             0.00063676,             0.00063676
                     17,                0.99428,                 0.5685,                0.98603,                 0.9885,                      1,                  0.995,                0.73079,                0.99225,                0.52375,                 1.0027,             0.00058017,             0.00058017,             0.00058017
                     18,                0.94892,                0.54066,                 0.9593,                0.97287,                0.98334,                  0.995,                0.72298,                 1.0436,                0.59277,                 1.0041,             0.00052359,             0.00052359,             0.00052359
                     19,                0.94412,                0.53042,                0.95727,                0.97913,                0.97831,                0.99384,                0.73081,                0.95037,                0.56764,                0.99202,               0.000467,               0.000467,               0.000467
                     20,                0.95077,                0.53428,                 0.9737,                0.98672,                0.98413,                0.99333,                0.72508,                0.95295,                0.56036,                0.99801,             0.00041041,             0.00041041,             0.00041041
                     21,                0.90112,                0.51038,                0.95854,                0.96806,                0.98413,                0.98939,                0.72707,                0.95844,                0.57474,                0.98762,             0.00035382,             0.00035382,             0.00035382
                     22,                0.87687,                0.50404,                0.95442,                0.98298,                0.99704,                  0.995,                0.73117,                0.94685,                0.51628,                0.99287,             0.00029723,             0.00029723,             0.00029723
                     23,                0.86093,                0.49331,                0.94038,                0.98935,                      1,                  0.995,                0.74346,                0.94441,                0.51218,                0.98273,             0.00024064,             0.00024064,             0.00024064
                     24,                0.83617,                0.47011,                0.91638,                0.99057,                      1,                  0.995,                0.76862,                0.90988,                 0.4792,                0.95401,             0.00018406,             0.00018406,             0.00018406
                     25,                0.82502,                0.44437,                0.91878,                0.99323,                      1,                  0.995,                 0.7795,                0.89208,                0.47757,                0.94886,             0.00012747,             0.00012747,             0.00012747
