                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.121,                 7.1255,                 2.3487,                0.28599,                0.08889,                0.11051,                0.06507,                 2.3224,                 4.5706,                 1.9868,             0.00011432,             0.00011432,             0.00011432
                      2,                 1.7985,                 2.7595,                  1.397,                0.45665,                0.62524,                0.58233,                0.33536,                 1.4564,                 3.2386,                 1.2076,             0.00023331,             0.00023331,             0.00023331
                      3,                 1.4424,                 1.6991,                 1.1797,                0.73626,                0.65052,                0.70538,                0.42141,                 1.3523,                 1.6403,                 1.2024,             0.00034211,             0.00034211,             0.00034211
                      4,                 1.3198,                 1.2449,                 1.1301,                0.59361,                0.45335,                 0.5587,                0.31677,                 1.3766,                 1.6968,                 1.1954,             0.00044073,             0.00044073,             0.00044073
                      5,                 1.3144,                  1.154,                 1.1312,                 0.4753,                0.64444,                0.63366,                0.37391,                 1.3734,                 1.5249,                 1.1903,             0.00052916,             0.00052916,             0.00052916
                      6,                 1.3232,                  1.133,                 1.1621,                0.74168,                 0.8616,                0.84518,                0.50712,                  1.297,                 1.2874,                  1.147,             0.00060741,             0.00060741,             0.00060741
                      7,                 1.2066,                0.95701,                 1.0772,                0.90807,                0.86439,                0.96589,                0.60038,                 1.2998,                0.92225,                 1.0979,             0.00067547,             0.00067547,             0.00067547
                      8,                 1.2203,                 0.8859,                 1.0509,                0.88507,                0.94578,                0.96584,                 0.6558,                 1.0939,                0.85256,                 1.0388,             0.00073335,             0.00073335,             0.00073335
                      9,                 1.2476,                0.87949,                 1.0795,                0.87645,                0.90256,                0.97011,                0.65116,                 1.1385,                0.77469,                 1.0428,             0.00078103,             0.00078103,             0.00078103
                     10,                 1.1851,                0.80603,                 1.0746,                 0.9946,                0.98673,                0.99066,                0.67384,                 1.1567,                0.65757,                 1.0105,             0.00081854,             0.00081854,             0.00081854
                     11,                 1.1231,                0.77889,                 1.0442,                0.99198,                0.99827,                  0.995,                 0.6555,                 1.1435,                 0.7276,                 1.0688,             0.00084585,             0.00084585,             0.00084585
                     12,                 1.1143,                0.77753,                 1.0286,                0.99594,                      1,                  0.995,                0.60994,                 1.3336,                0.68081,                 1.1153,             0.00080653,             0.00080653,             0.00080653
                     13,                 1.1089,                0.73402,                 1.0232,                0.98106,                      1,                  0.995,                0.65338,                 1.1423,                0.70415,                 1.0994,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.1002,                0.71553,                 1.0326,                0.99165,                      1,                  0.995,                0.62635,                 1.1949,                0.62281,                 1.0914,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.1271,                0.74053,                 1.0295,                0.99525,                      1,                  0.995,                0.67638,                 1.1752,                0.61348,                 1.0678,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.1265,                0.67973,                 1.0435,                0.99175,                 0.9728,                  0.995,                0.64245,                 1.1797,                0.63089,                 1.0736,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.1338,                0.63717,                 1.0392,                0.97112,                0.98889,                0.99115,                0.65829,                 1.1795,                 0.6866,                 1.0751,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.0486,                0.63561,                 1.0237,                 0.9816,                0.98019,                  0.995,                0.68899,                  1.122,                0.61103,                 1.0376,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.0187,                0.61743,                0.98704,                0.99447,                0.99842,                  0.995,                0.66784,                 1.1416,                0.58593,                 1.0481,               0.000467,               0.000467,               0.000467
                     20,                   1.04,                0.61821,                  1.008,                0.97517,                0.98702,                  0.995,                0.65951,                 1.1815,                 0.6068,                 1.0716,             0.00041041,             0.00041041,             0.00041041
                     21,                0.96837,                0.58317,                0.97899,                0.97767,                      1,                0.99468,                0.66479,                 1.1755,                 0.5737,                 1.0795,             0.00035382,             0.00035382,             0.00035382
                     22,                0.94465,                0.54326,                0.96613,                0.98983,                      1,                  0.995,                0.68491,                 1.1082,                0.55825,                 1.0408,             0.00029723,             0.00029723,             0.00029723
                     23,                0.95227,                0.54926,                0.97026,                0.99457,                      1,                  0.995,                 0.6899,                 1.0471,                0.54084,                 1.0196,             0.00024064,             0.00024064,             0.00024064
                     24,                0.88509,                0.52978,                0.96197,                0.99488,                      1,                  0.995,                 0.7177,                 1.0139,                0.52607,                 1.0019,             0.00018406,             0.00018406,             0.00018406
                     25,                0.92682,                0.52173,                0.94439,                 0.9959,                      1,                  0.995,                0.72624,                  1.019,                0.50812,                 1.0027,             0.00012747,             0.00012747,             0.00012747
